ID-IMG-Meme, texto
DS_IMG_2690,Todos viendo el grupo en el que quedó México para el mundial #Qatar2022 
DS_IMG_2006,MI HIJA DICE QUE VAS MUY BIEN EN LAESCUELA;QUEINCLUSOLA AYODASI -Sí. YA PARAELAÑOY MIERDO. 
DS_IMG_813,Cuando te dicen que tienes mirada penetrante 
DS_IMG_347,Sabes que Batman es el jete cuand quet hace que toda la liga de la justicia se inêtaza su avion aunque todos puedan volar. Ejem. 
DS_IMG_1851,NO VALE LA PENANI MEARIO 
DS_IMG_3138,mujeres que están solas por distraídas. hay 
DS_IMG_605,Dà Ana Dewey Érrrene2 raac mañana @trabes ala puta escuela Zon 
DS_IMG_2122,MEMES DE LOS COMPAS 
DS_IMG_732,La vida en redes sociales 
DS_IMG_12,"*En ciasede alte con mí amigo* We 03sas e{ crayoid colr ""piel?? Que crayon le doy?? "
DS_IMG_1793,"when vas en la calle y ves un perro que te empieza a ladrar but recuerdas que ""prro que ladra no muerde"" but ese si "
DS_IMG_1700,9) 'Weeey se cancela la fiesta de disfraces Yo: 4 
DS_IMG_2484,MUYINTERESANTE LO ANOTARÉ EN MÁQUINADEESCRIBIR INVISIBLE memegenerator es 
DS_IMG_613,Técnicamente; el fue el primero en bajar datos de la Nube a una tableta! Moy 
DS_IMG_1033,A ti doble mija por toxica y berrinchuda. 
DS_IMG_1983,CUANDO LLEGA LA NAVIDAD EN CUARENTENAPERO NO PUEDES SALB š VAMOS@LLAIARPOR VíDEO 1 LLAMADA PARAIOLESTARA TODOS é 
DS_IMG_2211,peda Pero en tu casa Hay 
DS_IMG_1170,Cuando tu mamá entra en la habitación y tú abuela fingen que están durmiendo Ytu 
DS_IMG_1720,Tuandoeresugato El_pibe Miaumiau perou inteligente BOBARDESRD Mallorquin2 [gato 
DS_IMG_2598,"Estos días Twitter es hermoso por el México vs Argentina. Todos se insultan, buenos memes buenos Iloros. Me recuerda a la época dorada de Twitter donde todos se mentaban la madre y nadie se ofendía. Estoy Ilorando de felicidad_ Traducir {uit "
DS_IMG_160,Clasismo FCB Miedo a no clasificarse 
DS_IMG_1385,ELREY DE LOS ALBURES 
DS_IMG_1996,"Amo mi trabajo; amo mi trabajo, este trabajo paga mis viajes; amo mi trabajo Vagamundos "
DS_IMG_2101,Fin del mundo: *Termina siendo en 2021 El profeta dislexico que dijo que sería en el 2012: (( M/ Visible Frustration] 
DS_IMG_1751,PARAQUEAPRENDERTECIENTOS DEALBURESSILEPUEDESDECIR SOKERES memegeneratoreg 
DS_IMG_1479,a una ferreteria* Yo: Tiene carne molida? El panadero: *Voy 
DS_IMG_1696,Yo: porque te gusta discutir a cada rato Mi amorcito: Esto lo hago pa divertirme; pa divertirme; pa divertirme 
DS_IMG_1056,"Cuando te preguntan por siempre tratas mal a tu amigo negro. Taii Pagué 2 dólares por él, 09 mlo qué "
DS_IMG_626,Después de subir esta foto ella recibió 500 soliciludes de amistad . 
DS_IMG_2972,"""Según estudios científicos está comprobado que levantarse temprano genera odio hacia la humanidad. MADRUGAR No es sano para el cuerpo ni para la mente más en cuantarazon_com "
DS_IMG_2042,CUANDO MAMAME PERSIGTE PDCIIIA GHANCVAHIII 
DS_IMG_1645,Cuando estás durmiendo y te despierta un calambre: 
DS_IMG_740,No es necesario ponerte las pilas para realizar tus metas en la vida Acuérdate que Chucky no tenía pilas y mira todo el desmadre que hizo Solamente se ocupa espíritu y actitud. 
DS_IMG_1166,"*Le pido salir a mi crush * su amiga con gafas que pesa 6 veces la masa del sol: 0 @@on que permiso? 20"" l "
DS_IMG_1360,~iA dónde me vas Ilevar? Es una sorpresa. 
DS_IMG_568,En serio escuchan 86 No n@8gaeton @ 2021 y no 8Qe dce esle 8 bandas de rock y metal Biem cläsioo? U @penings d hueu8n @alio? anime? Ustedes m@ dan @S00 PProcede a hacer insultos racfales y misogihnos? peno 00 subele que deubou @S8 Gabr8n 
DS_IMG_953,No al racismo 8.51 PM 0 
DS_IMG_271,"CUANDOLEDIJOFPSSS PSSS; MUÑEQUTA GDONDELAS IA SOLITA?"" ZAS!EN TODA LA'BOCA memegeneratores "
DS_IMG_2504,AVER; BULT ^ g fhaGANYLGOL C 
DS_IMG_2310,~iCuánto es 69+3? 23 ~iY entonces porqué respondiste que no se puede? @httpelbrayan 
DS_IMG_2177,"-Mamá, éSoy feo? me asustaste pendejo de mierda sal de acá. L-Ay, "
DS_IMG_195,POV RELLENANDO ZA RENTA imgflip com 
DS_IMG_1654,"El Guarromántico @Guarromantico_ Mi cara cuando veo que quieren comer pastel y no traen regalos: no te preocupes 1 No, "
DS_IMG_32,The Presssident' @Prestigedome 5m Yo antes de llegar al Sonora Grill para que me asignen una mesa chida #SonoraGrill #sonoragrillprime 
DS_IMG_229,"Mujeres buscando Hombres: una relación: L  decanc2 No es mucho pedir solo quiero un chico que no sea machista, homofóbico; racista , clasista; que se quiera deconstruir y aprender sobre temas sociales y quereconozca sus privilegios. Que se cuestione, que actúe, que tenga un propósito de vida, que se @elflastero76 preocupe por su salud mental, con responsabilidad afectiva, gracioso y que le guste Ahora mismo yo me confommaría con bailar: L 4 Bail4f ""o 2 Gan Uiporcante Juji alguien que sea biológicamente femenino "
DS_IMG_237,"*se filtra el chat de los pibes* Yo intentando defender a mi compa el racist4, machist4, clasista y homófobO: bruenito "
DS_IMG_2494,"Ingeniería civil Ah, un albañil con título_ "
DS_IMG_1535,Ay! no tengo nada que ponerme EL SON KOKUN Hoy toca la ropa elegante 
DS_IMG_1128,USTÉD NO HIA VIfto 2 LASEÑAL DE PROlIIBIDO IR A MAS DE 90 ? LASEÑAL $I QUE LA HE VIfTo AL QUE NO HE VIsTo ESATí . Fl plaiow Del DJA 
DS_IMG_802,Como lo ves Como le quedó en el catálogo. a tu marido. 
DS_IMG_285,yo: 'digo que no me gusta * alguien La morra que salio de la basura: De hechoeso @s considerado como machista 
DS_IMG_837,"(LAmor tienes ganas de helado? De lado, de frente como quieras_ EXCLAMÓ LA TíMIDA PRINCESA "
DS_IMG_3254,Quisiera ser rubia. hermosa y deseada por todos los hombres Poro d2 los drseos 63 0 Pozp de los 8cssos 33 Responder MARCE 
DS_IMG_1602,Cuando suena su celular; sonríe y no es contigo: 
DS_IMG_2894,"Hola hijo. &Qué talla fiesta? Me voy a dormir porque tengo sueno. Bien, "
DS_IMG_1702,Quiero ir a una fiestaaaaaa Js Para poder besuquearnos y manosearnos 
DS_IMG_3126,iPaco; dame duro con eso que usaS para mear! 
DS_IMG_1316,"de poesía y tequila Tegulla Necesito un abrazo y bien fuerte, con tus piernas rodeando mi cuello y tus labios humedeciendo d mi boca  y tequila poesla "
DS_IMG_1490,"""Tus besos dicen que tu si me quieres pero tus palabras no"" CONFUNDIDITTO "
DS_IMG_1849,JESUCRISTU REDENTUR APLACATUIRA A MX YTI TEMRTOR 
DS_IMG_2747,"Aquí es donde vengo a Ilorar, Alemania #Qatar2022 7 OuTSChe, 8ean 89 MEXICO "
DS_IMG_2088,ME IBA A LLEVANITARAIRABAJARPERO ME ACORDÉ QUE ES DOMINGO 
DS_IMG_130,Publlca que esta vlendo Solo ve la serie [13 reasons why 
DS_IMG_457,"Hhen dtekox38 de&hauanaauu| 0s 7ansy .nojay a VNA Mapya No, gracias _ Quiero vivir xuKDxD "
DS_IMG_1659,Yo después de dos horas de chisme. Pero quienes somos nosotros.. Para juzgar 
DS_IMG_1413,@payaso lldlauilño {quântos 0fos tianes? Ya 26 @payaso 200ñoci Dañate Epayaso Yo XD Jaja que buena broma 
DS_IMG_2437,FOVJRlI[ABL 
DS_IMG_689,GÉQUE ESTÁS AHÁ HOMBRESOLTEROGIEZ [TELIGENTE Y CONEXYASUPERAD@ FIE VOY AENCONTRARI Solteras 7 de Junio 
DS_IMG_3104,Ya no te tu te irias con un veo de drogata que copas con encima se esta follando Q tu paco? mujer? pues no pues paco tampoco Sousa) 
DS_IMG_1802,MYME EDEASCAEIAS 
DS_IMG_3036,Cuándo mi foto llega a dos likes. ODIO SEF FI SEXY PERO ALGUIEK TIENE QUE SERLO 
DS_IMG_1434,QUISTERASER MARIACHI Er PARATOCARTELA CUCARACHA 
DS_IMG_2384,TÚ TU FOTO [MTERNET 
DS_IMG_3241,"No, NO PUEDE SALIR HOY 88 "
DS_IMG_3010,NOSE SIODIOA TODOELMUNDO OLAGENTEES UNAIIERDA memegenerator.es 
DS_IMG_2100,aveces sienlo que MISSING doremiau nomepreslan alenciôn 
DS_IMG_979,muere maradona. ali el niño sin piernas que maradona le metió un gol. pateagordas iLologramos 
DS_IMG_820,*Futbolistas se abrazan para festejar un Los de Qatar: gol 
DS_IMG_1741,"~Papá, es allá? ~Es la CDMX, venden quesadillas sin queso, hablan cantadito con puro albur; Y todo lo meten a un bolillo_ 0 0 0 Nunca te acerques_ iqué "
DS_IMG_1031,"SOLO UN BOCADO MÁS Y LISTO. TOTAL, MAÑANA ME MATO EN EL GYM. "
DS_IMG_1982,Memes navideños MUY graciosos para felicitar las fiestas 
DS_IMG_42,MCARA CUARDO ME GUSTA EL ROCI PERO POKEH UKA CATSIOK DE REGEETOH QUE tAiBIENLE GUSTA 
DS_IMG_769,"Entonces que mija, & Si me vas a dejar bautizar a tu chiquito? "
DS_IMG_3083,Porque te viniste tan rápido Es que me Puse el Boxer de la Formula Uno hoy 
DS_IMG_2920,SI NO REGRESO DÉGANLE A MI FAMILIA QUE LA AMO 
DS_IMG_1010,TIO <EisENBeSS miecdamevaamatarmimam x2:v 
DS_IMG_2011,YASIESCOMOMAGEN 4bo5 LOS CAMIOREROS 
DS_IMG_2406,"AL QUE ME EMPUJE LE PARTO LA CARA. PERO SIR NEWTON, NO PODEMOS PONER ESO_ ESTÁ BIEN, A TODA ACCIÓN ENTONCES CORRESPONDE PONLE UNA REACCIÓN DE IGUAL MAG NITUD, PERO EN SENTIDO CONTRARIO. "
DS_IMG_1300,"""No tengo dinero; no se que darle a mi esposo el día del padre"" . "
DS_IMG_1924,R0 VJOLZERE [ IIORDER TUS Z/PIIlLLS HJISTI I/fARJ/ 
DS_IMG_2065,"Pues será muy de Marilyn Monroe el vestido, pero tiene mas estilo mi Peter Griffin que la Kim Kardashian. Met Gala #MetGala2022 #MetGala gettyurages A "
DS_IMG_1169,300 abdominales 1 Sentadilla 
DS_IMG_442,5 razones por las que deberías ayudar a tu esposa a limpiar la casa FAMILYSHARE COM BY NEIL KENNEDY commandvrclarke 1. Porque vives en esa p*ta casa. 2 Porque vives en esa p*ta casa. 3. Porque vives en esa p*ta casa. 4 Porque vives en esa p*ta casa. 5. Porque vives en esa p*ta casa. boredpanda.com 
DS_IMG_3130,"Ama ya me voy de peda, ahí te dejo a las bendiciones, ya cenaron "
DS_IMG_1798,FEstá temblando] OweDiogute 
DS_IMG_1580,DECIDLOQUE @UERAISDEALBURES GROMGEzLECEsI] @V@DDDEPROFESIOEDES manegandatoreg 
DS_IMG_2276,VENGA PELEQL! cCÓMO [BA A SABER QUE ERA TU MUJER? 
DS_IMG_1708,"iY ya la besaste? pero No, 4 "
DS_IMG_403,"Los Anillos de Poder: segunda temporada será dirigida exclusivamente por mujeres Mil , de diciembre de 2022,7 05 min delectura Sí .. {por qué no? {Por no íbamos a Ilamar racistas y sexistas a los fans si tampoco les gusta la 2' temporada? Claro, qué "
DS_IMG_1135,"""Chupame la lengua bebé' 1 Dalai Lama "
DS_IMG_1867,when falsificas bien shidori la firma de tu But tu te que firmes su divorcio gfa pide gfe 
DS_IMG_1669,El Guarromántico @Guarromantico *Mi novia sube una foto* ~Un vato: Mía ~Mi novia: Tuya Yo: 
DS_IMG_536,SoNIG DMENS SPIDER-MAN Lotus Excalibur 9 Presumir que son mejores que los productos oficiales pero terminar siendo un fracaso 
DS_IMG_672,"~Mamá, una araña en el baño ~Dile que la amas. -cPara ~Para que se vaya igual que tu ex, jajaja. hay qué? "
DS_IMG_513,Nadie: Absolutamente nadie: Yo cuando no voy a alcanzar a entregar la tarea a tiempo: Ahh pero a don pendejo le gusta dejar todo all último 
DS_IMG_2159,"""Cuando tenga 18 me voy a ir de la casa, voy a tener mi propio carro y voy a ser independiente Yo a los 20 ma me haces un huevito jeje Tc "
DS_IMG_2372,Yunresplandoryhace fPUM! Yaestáaqulapaz AC 
DS_IMG_3015,USTEDESSECREEN QUE ODIOEL FÚTBOL ESCIERTO meneaenaatores 
DS_IMG_2340,L LE SE NOSIVA JULiO 
DS_IMG_1014,"""Un chico que toca un instrumento no tocará jamás un arma' 1 XD Ipi "
DS_IMG_3185,ME PREGUNTO SL SOY LA ÚNICA Que lOS VE 
DS_IMG_434,ZZZ sexistas no son bromas 1 ; 
DS_IMG_2571,Los mejores memes del Alien Mexicano de Jaime Maussan 
DS_IMG_2483,"Yo marcándole a Dios para asegurarme que no me vuelva a 1 poner en la lista 'mis mejores guerreros 2023"" "
DS_IMG_1446,Yo automáticamente cuando alguien me cae bien. 
DS_IMG_1623,*Le llega un mensaje a mi novio * Yo: Aber presta 
DS_IMG_2115,iFeliz día del padre! que Paja 
DS_IMG_2676,NO TE DEJES METER GATO POR LIEBRE EN LA PRIMERA CITA LLEVALAS A NADAR 
DS_IMG_199,PARQUE SIMÓN BOLíVAR RECTORIA VIAJA A FESTIVALES CONCIERTOS DESDE TOLUCA {Ja estoyaquíIlenil 
DS_IMG_49,NACH PABA VIVIR okchicas NO PARA PEINARME 
DS_IMG_915,Rolex Casio 
DS_IMG_236,"iTAMBIÉN REPRESENTAMOS A LAS ""VERDULERAS"" , AUNQUE LES DUELA! Woen mnotena noreda DIPUTADAS DE MORENA CALLAN A PANISTAS CLASISTAS "
DS_IMG_1406,'El primer paso es quitarse la idea de que es para gente corrientel Hayque leer_ Lourdes RuíZ 
DS_IMG_2785,Normaliza el odio sin fin en tu corazón Un Gamer Latino Mas está bien nunca olvidar y nunca perdonar; recuerda como te trataron por siempre 
DS_IMG_2099,AL FIN NACIO NUESTRO SAZVADORW! 
DS_IMG_1949,"TELOJURO,Tío CUANDOMEDORM NO HABIA MADA,Y CUANDO ME DESPERTEESTABA EL SALÓN LLENO DE JUGHETES "
DS_IMG_3147,Prometió nunca más tocar una botella 0 lata de cerveza y ahí lo tienen . Hombre de palabral! 
DS_IMG_2725,SEACABO TODO TODO TODILZO 
DS_IMG_859,Yo a los 10 minutos de poner la que me ha costado una hora elegir peli 
DS_IMG_3114,No puedo entrar Pero si estás al facebook con el microondas Los Años no perdonan 
DS_IMG_2154,usted va estrenar ropa para está navidad? Me pondré la misma del año pasado pel@ al revéz. éY 
DS_IMG_968,"Mientras tu comes carne y verduras , gente que come tela porque no tiene dinero hay "
DS_IMG_3180,M C Momento En Que Hablas 12 idiomas Y 4 Dialectos 
DS_IMG_1988,La | Trabajar desde casa será más fácil decían Luicetendrás más tiempo libre decían_ Licr ) ! ! 
DS_IMG_2947,Tu cara cuando te dicen que te (oca trabajar el 7de mayo 
DS_IMG_1335,Este podría ser yo comiéndote el pedorrón pero la piensas mucho. 
DS_IMG_2614,Cuando son las 18.00 hrs. Mi jefe Srtaantes que se vaya: Envié un correo Ayúdeme aqui con el cuadro de excel Búsqueme el archivo de Llama a Ahiviene 
DS_IMG_1512,"Papá, ya te dijle que 'masiosare"" noe9 (una persona éâespegifico Solo estás @ntendiendo mal elHimnoNacionâl  8* FESO ES LO QUE DIRIA-UN ""MDSIOSARE""! "
DS_IMG_1307,Yo:Dios dame un motivo para no olvidarlo Dios: 
DS_IMG_1934,auecesguuiseaceiuralogade ddiadesnuentn pero luego récuérdoque nô tengo noviouselehasa onoradorham 
DS_IMG_2132,#QUIEN TE QUERíA DAR UN BALONAZO? 8uef8: feuA9Ei vtboleRo 
DS_IMG_3280,cariño creo que debemos llevar al perro para un corte de cabello . Lobo Andaluz y Luna Gitana 
DS_IMG_438,ENMISTIEMPOS @oTEMianos VipeoJUEGOS SALIAMOS FUERA A PEGAR A LOS NEGROS CON PALOS 
DS_IMG_905,"El Guarromántico @ Guarromantico_ Entrenador , da mi rutina? Haz lo que quieras, de todos modos vienes 1 día y faltas 4. ime "
DS_IMG_2609,"Yordi, el día en que yo nací, nacieron todas las flores "
DS_IMG_561,"Mi hermano, Como lo ve mi como lo veo yo cuñada "
DS_IMG_1202,"~Lo intentamos, pero si me atraganto; paramos_ @PercyBl. "
DS_IMG_2146,"Cuando llevas a tu ""amigo' ala comida familiar y se le sale un iMI AMOR! iYa nos exhibiste! "
DS_IMG_1889,"Practicando la exposición en casa: Yen la grafica siguiente se puede apreciar que la ligera variación logaritmica se da por diversos factores entre estas poblaciones, al igual que. Exponiendo en clase: eehhhhh, jeje, el cafe con leche es como el cafe pero con leche . Pikachu "
DS_IMG_268,"""Adiós presiosar Halago Piropo Acoso VERDAD NDIAL Violación Telepática [Feminicidio Cuestióndeperspectiva "
DS_IMG_2441,BIEN 00o por fin e8 viernes y ?298 
DS_IMG_2416,equis Ay 
DS_IMG_1509,AESACAJUELA SILEECHOTODO MI EQUIPAJE 
DS_IMG_3115,"MAMÁ, & QUE ES EL VIBRADOR ? UNA POLLA DE GOMA QUE ME FROTO POR EL CHOCHO PARA DARME EL PLACER QUE TU PADRE YA NO ME DA à YEL MODO AVIÓN ? "
DS_IMG_2939,Te odio Luis Fonsi WESTEROS CLU B 
DS_IMG_2925,Mami ya llege A ver soplame 
DS_IMG_532,Todo el mundo ahorita Yo ahorita cMemerino 
DS_IMG_3085,7eY QUIEN TE MANDÓ ESTO?! 
DS_IMG_391,Anuncios sexistas de juguetes en los que al parecer una mujer no vale para coger un coche hombre no puede dedicarse maquillador desmotivaciones. 
DS_IMG_217,QUIERECRITICAR EL CZASISMO ES CLASISTA E IDIOTA memegenerator es 
DS_IMG_1040,Cuando vas cantando en tu auto y tú mismo te haces los coros 
DS_IMG_3255,~El de atrás paga la cuenta ~Pero usted viene sola señorita. ~No me estás entendiendo. MiRisa 
DS_IMG_429,"Cuando te estás despidiendo de la tóxica y te dice ""CUIDATE MUCHO"" , y no sabés si es cariño 0 amenaza: "
DS_IMG_2382,"yo por fuera / yo por dentro Oro6 0,4a escuchan, me oyen? Thalía Estoy feliz feliz feliz :) éMe "
DS_IMG_2124,Yo cada vez que leo a alguien quejándose y agobiado por la selectividad y pienso en la que le espera cuando entre en la universidad 
DS_IMG_3009,cuando alguien me pide que sujete a su bebé: 
DS_IMG_3123,QuE' Es OR;GinAL TU UN iÑTENTO VESTipo Con PARA VER SiMi EL ESTAMPARO MARiDO ME DE UN 'TOQUETEA UN cLÚLAR! POQuiTo: Fr Ucieszcon 
DS_IMG_2453,Ca lamarino ele Ga uta Creo que temblare ahora xD 
DS_IMG_2517,aur AUNLADO 
DS_IMG_1070,No entiendo porque rechazaron mi proyecto_ UES 
DS_IMG_2909,BELINDA TERMINA UNA RELACIÓN SUS EX: LPOMR QUÉ SE TAMTUARON AMSÉ? UNOS PEDILLOS EL TATUADOR: EL DEFORMA 6p 
DS_IMG_1124,'EL WEY 9 QUE COME CARNE ROJA EN JUEVES Y VIERNES SANTO 
DS_IMG_34,Ya quisielàs Ser mejicano we 
